"1,5-dimethylnaphthalene",                "C12H12",   "571-61-9",    0.036,     28, 25, ""
"2,2',3,3',4,4'-hexachlorobiphenyl",      "C12H4Cl6", "38380-07-3",  0.0354,    31, 25, ""
"2-chloronaphthalene",                    "C10H7Cl",  "91-58-7",     0.0335,    28, 25, ""
"diiodomethane",                          "CH2I2",    "75-11-6",     0.032,     13, 30, "methylene iodide"
"biphenyl",                               "C12H10",   "92-52-4",     0.0280,    22, 25, "diphenyl"
"diphenyl ether",                         "C12H10O",  "101-84-8",    0.027,     13, 25, ""
"1,1,2,2-tetrachloroethane",              "C2H2Cl4",  "79-34-5",     0.026,     13, 25, "acetylene tetrachloride"
"anisole",                                "C7H8O",    "100-66-3",    0.025,     13, 20, "methoxybenzene"
"decachlorobiphenyl",                     "C12Cl10",  "2051-24-3",   0.0208,    7,  25, ""
"2,5-dichlorobiphenyl",                   "C12H8Cl2", "34883-39-1",  0.0201,    7,  25, ""
"2-heptanone",                            "C7H14O",   "110-43-0",    0.0171,    28, 25, "methyl pentyl ketone"
"1,2-diphenylethane",                     "C14H14",   "103-29-7",    0.017,     12, 25, "dibenzyl"
"acenaphthene",                           "C12H10",   "83-32-9",     0.01217,   22, 25, "1,2-dihydroacenaphthylene"
"acenaphthylene",                         "C12H8",    "208-96-8",    0.012,     28, 20, "acenaphthalene"
"dibenzofuran",                           "C12H8O",   "132-64-9",    0.011,     12, 25, "2,2'-biphenylene oxide"
"methyloxirane",                          "C3H6O",    "75-56-9",     0.0087,    13, 20, "1,2-propylene oxide"
"2-pentanone",                            "C5H10O",   "107-87-9",    0.00847,   28, 25, "methyl propyl ketone"
"9h-fluorene",                            "C13H10",   "86-73-7",     0.00787,   22, 25, "2,2'-methylenebiphenyl"
"1-heptanol",                             "C7H16O",   "111-70-6",    0.00562,   28, 25, "heptyl alcohol"
"2,2',3,3',4,4',6-heptachlorobiphenyl",   "C12H3Cl7", "52663-71-5",  0.0054,    7,  25, ""
"anthracene",                             "C14H10",   "120-12-7",    0.00396,   22, 25, ""
